Monthly Collection Key,Property Name,Month,Year,Final Scheduled Rent,Final Rent Collected,Final Delinquency,Percentage of Rent Paid,Date Created,Date Modified,Last Modified By,Month - Year,Record ID#,Record Owner,Related Property,xMonthlyCollectionKey,xMonthYear,Year Order,Term Order,Property - Live
2: December - 2020,1047 Commonwealth Avenue,December,2020,$0,$0,,,12-01-2020 03:44 PM,12-01-2020 03:46 PM,Bailey Tech Group QB <61083822.deca>,December - 2020,2,Bailey Tech Group QB <61083822.deca>,2,2: September - 2024,September - 2024,12,4,no
2: January - 2020,1047 Commonwealth Avenue,January,2020,"$425,374.3","$425,374.3",,100%,12-01-2020 03:54 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,January - 2020,20,Bailey Tech Group QB <61083822.deca>,2,2: September - 2024,September - 2024,1,5,no
2: February - 2020,1047 Commonwealth Avenue,February,2020,"$425,374.3","$425,374.3",,100%,12-01-2020 04:00 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,February - 2020,38,Bailey Tech Group QB <61083822.deca>,2,2: September - 2024,September - 2024,2,6,no
2: March - 2020,1047 Commonwealth Avenue,March,2020,"$425,374.3","$425,374.3",,100%,12-01-2020 04:03 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,March - 2020,56,Bailey Tech Group QB <61083822.deca>,2,2: September - 2024,September - 2024,3,7,no
2: April - 2020,1047 Commonwealth Avenue,April,2020,"$425,374.3","$425,374.3",,100%,12-01-2020 04:05 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,April - 2020,74,Bailey Tech Group QB <61083822.deca>,2,2: September - 2024,September - 2024,4,8,no
2: May - 2020,1047 Commonwealth Avenue,May,2020,"$425,374.3","$425,374.3",,100%,12-01-2020 04:21 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,May - 2020,92,Bailey Tech Group QB <61083822.deca>,2,2: September - 2024,September - 2024,5,9,no
2: June - 2020,1047 Commonwealth Avenue,June,2020,$0,$0,,,12-01-2020 04:24 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,June - 2020,110,Bailey Tech Group QB <61083822.deca>,2,2: September - 2024,September - 2024,6,10,no
2: July - 2020,1047 Commonwealth Avenue,July,2020,$0,$0,,,12-01-2020 04:26 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,July - 2020,128,Bailey Tech Group QB <61083822.deca>,2,2: September - 2024,September - 2024,7,11,no
2: August - 2020,1047 Commonwealth Avenue,August,2020,$0,$0,,,12-01-2020 04:28 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,August - 2020,146,Bailey Tech Group QB <61083822.deca>,2,2: September - 2024,September - 2024,8,12,no
2: September - 2020,1047 Commonwealth Avenue,September,2020,$0,$0,,,12-01-2020 04:31 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,September - 2020,164,Bailey Tech Group QB <61083822.deca>,2,2: September - 2024,September - 2024,9,1,no
2: October - 2020,1047 Commonwealth Avenue,October,2020,$0,$0,,,12-01-2020 04:34 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,October - 2020,182,Bailey Tech Group QB <61083822.deca>,2,2: September - 2024,September - 2024,10,2,no
2: November - 2020,1047 Commonwealth Avenue,November,2020,$0,$0,,,12-01-2020 04:36 PM,12-01-2020 04:36 PM,Bailey Tech Group QB <61083822.deca>,November - 2020,200,Bailey Tech Group QB <61083822.deca>,2,2: September - 2024,September - 2024,11,3,no
2: January - 2021,1047 Commonwealth Avenue,January,2021,$0,$0,,,01-04-2021 05:13 PM,01-25-2021 03:08 PM,JT Bailey <62477437.bhmt>,January - 2021,218,JT Bailey <62477437.bhmt>,2,2: September - 2024,September - 2024,1,5,no
6: December - 2020,Academy 65,December,2020,"$155,293.64","$139,647.1","$15,646.54",89.924545525496%,12-01-2020 03:44 PM,12-06-2020 11:26 PM,Bailey Tech Group QB <61083822.deca>,December - 2020,6,Bailey Tech Group QB <61083822.deca>,6,6: September - 2024,September - 2024,12,4,yes
6: January - 2020,Academy 65,January,2020,"$252,687.96","$249,037.63","$3,650.33",98.555400106914%,12-01-2020 03:54 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,January - 2020,24,Bailey Tech Group QB <61083822.deca>,6,6: September - 2024,September - 2024,1,5,yes
6: February - 2020,Academy 65,February,2020,"$259,161.73","$258,625.95",$535.78,99.793264229252%,12-01-2020 04:00 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,February - 2020,42,Bailey Tech Group QB <61083822.deca>,6,6: September - 2024,September - 2024,2,6,yes
6: March - 2020,Academy 65,March,2020,"$253,044.37","$247,538.13","$5,506.24",97.824002170054%,12-01-2020 04:03 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,March - 2020,60,Bailey Tech Group QB <61083822.deca>,6,6: September - 2024,September - 2024,3,7,yes
6: April - 2020,Academy 65,April,2020,"$257,452.82","$235,255.77","$22,197.05",91.378206694337%,12-01-2020 04:05 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,April - 2020,78,Bailey Tech Group QB <61083822.deca>,6,6: September - 2024,September - 2024,4,8,yes
6: May - 2020,Academy 65,May,2020,"$254,019.75","$228,245.19","$25,774.56",89.85332439702%,12-01-2020 04:21 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,May - 2020,96,Bailey Tech Group QB <61083822.deca>,6,6: September - 2024,September - 2024,5,9,yes
6: June - 2020,Academy 65,June,2020,"$255,327.67","$227,814.69","$27,512.98",89.224442458587%,12-01-2020 04:24 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,June - 2020,114,Bailey Tech Group QB <61083822.deca>,6,6: September - 2024,September - 2024,6,10,yes
6: July - 2020,Academy 65,July,2020,"$64,029.21","$61,436.65","$2,592.56",95.95097300123%,12-01-2020 04:26 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,July - 2020,132,Bailey Tech Group QB <61083822.deca>,6,6: September - 2024,September - 2024,7,11,yes
6: August - 2020,Academy 65,August,2020,"$149,810.69","$130,959.01","$18,851.68",87.416331905287%,12-01-2020 04:28 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,August - 2020,150,Bailey Tech Group QB <61083822.deca>,6,6: September - 2024,September - 2024,8,12,yes
6: September - 2020,Academy 65,September,2020,"$136,783.46","$134,007.93","$2,775.53",97.970858464905%,12-01-2020 04:31 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,September - 2020,168,Bailey Tech Group QB <61083822.deca>,6,6: September - 2024,September - 2024,9,1,yes
6: October - 2020,Academy 65,October,2020,"$148,636.79","$145,367.67","$3,269.12",97.800598357917%,12-01-2020 04:34 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,October - 2020,186,Bailey Tech Group QB <61083822.deca>,6,6: September - 2024,September - 2024,10,2,yes
6: November - 2020,Academy 65,November,2020,"$151,093.65","$150,305.72",$787.93,99.47851547699%,12-01-2020 04:36 PM,12-06-2020 11:29 PM,Bailey Tech Group QB <61083822.deca>,November - 2020,204,Bailey Tech Group QB <61083822.deca>,6,6: September - 2024,September - 2024,11,3,yes
6: January - 2021,Academy 65,January,2021,"$159,332.73","$154,931.59","$4,401.14",97.23776778318%,01-04-2021 05:13 PM,01-25-2021 03:08 PM,JT Bailey <62477437.bhmt>,January - 2021,222,JT Bailey <62477437.bhmt>,6,6: September - 2024,September - 2024,1,5,yes
7: December - 2020,Academy Lincoln,December,2020,"$433,220.75","$427,133.68","$6,087.07",98.594926489555%,12-01-2020 03:44 PM,12-06-2020 11:26 PM,Bailey Tech Group QB <61083822.deca>,December - 2020,7,Bailey Tech Group QB <61083822.deca>,7,7: September - 2024,September - 2024,12,4,yes
7: January - 2020,Academy Lincoln,January,2020,"$421,148.64","$418,641.45","$2,507.19",99.404678120295%,12-01-2020 03:54 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,January - 2020,25,Bailey Tech Group QB <61083822.deca>,7,7: September - 2024,September - 2024,1,5,yes
7: February - 2020,Academy Lincoln,February,2020,"$420,302.07","$418,331.26","$1,970.81",99.531096765714%,12-01-2020 04:00 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,February - 2020,43,Bailey Tech Group QB <61083822.deca>,7,7: September - 2024,September - 2024,2,6,yes
7: March - 2020,Academy Lincoln,March,2020,"$418,140.46","$416,961.11","$1,179.35",99.717953627353%,12-01-2020 04:03 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,March - 2020,61,Bailey Tech Group QB <61083822.deca>,7,7: September - 2024,September - 2024,3,7,yes
7: April - 2020,Academy Lincoln,April,2020,"$414,973.81","$407,449.76","$7,524.05",98.186861479282%,12-01-2020 04:05 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,April - 2020,79,Bailey Tech Group QB <61083822.deca>,7,7: September - 2024,September - 2024,4,8,yes
7: May - 2020,Academy Lincoln,May,2020,"$408,381.8","$403,910","$4,471.8",98.90499527648%,12-01-2020 04:21 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,May - 2020,97,Bailey Tech Group QB <61083822.deca>,7,7: September - 2024,September - 2024,5,9,yes
7: June - 2020,Academy Lincoln,June,2020,"$416,286","$412,249.63","$4,036.37",99.030385360065%,12-01-2020 04:24 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,June - 2020,115,Bailey Tech Group QB <61083822.deca>,7,7: September - 2024,September - 2024,6,10,yes
7: July - 2020,Academy Lincoln,July,2020,"$85,418","$84,892.37",$525.63,99.384637898335%,12-01-2020 04:26 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,July - 2020,133,Bailey Tech Group QB <61083822.deca>,7,7: September - 2024,September - 2024,7,11,yes
7: August - 2020,Academy Lincoln,August,2020,"$428,173.25","$424,161.25","$4,012",99.06299611197%,12-01-2020 04:28 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,August - 2020,151,Bailey Tech Group QB <61083822.deca>,7,7: September - 2024,September - 2024,8,12,yes
7: September - 2020,Academy Lincoln,September,2020,"$433,240.25","$431,658.25","$1,582",99.634844638743%,12-01-2020 04:31 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,September - 2020,169,Bailey Tech Group QB <61083822.deca>,7,7: September - 2024,September - 2024,9,1,yes
7: October - 2020,Academy Lincoln,October,2020,"$434,308.99","$433,295.36","$1,013.63",99.766610863846%,12-01-2020 04:34 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,October - 2020,187,Bailey Tech Group QB <61083822.deca>,7,7: September - 2024,September - 2024,10,2,yes
7: November - 2020,Academy Lincoln,November,2020,"$433,586.33","$431,510.61","$2,075.72",99.521267194932%,12-01-2020 04:36 PM,12-06-2020 11:29 PM,Bailey Tech Group QB <61083822.deca>,November - 2020,205,Bailey Tech Group QB <61083822.deca>,7,7: September - 2024,September - 2024,11,3,yes
7: January - 2021,Academy Lincoln,January,2021,"$430,683.45","$426,341.4","$4,342.05",98.991823344965%,01-04-2021 05:13 PM,01-25-2021 03:08 PM,JT Bailey <62477437.bhmt>,January - 2021,223,JT Bailey <62477437.bhmt>,7,7: September - 2024,September - 2024,1,5,yes
1: December - 2020,Campustown 1008 S. 4th,December,2020,"$90,336","$85,031","$5,305",94.127479631598%,12-01-2020 03:44 PM,12-06-2020 11:26 PM,Bailey Tech Group QB <61083822.deca>,December - 2020,1,Bailey Tech Group QB <61083822.deca>,1,1: September - 2024,September - 2024,12,4,no
1: January - 2020,Campustown 1008 S. 4th,January,2020,"$139,275.61","$134,068.64","$5,206.97",96.26139135201%,12-01-2020 03:54 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,January - 2020,19,Bailey Tech Group QB <61083822.deca>,1,1: September - 2024,September - 2024,1,5,no
1: February - 2020,Campustown 1008 S. 4th,February,2020,"$137,912.94","$134,324.65","$3,588.29",97.3981484261%,12-01-2020 04:00 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,February - 2020,37,Bailey Tech Group QB <61083822.deca>,1,1: September - 2024,September - 2024,2,6,no
1: March - 2020,Campustown 1008 S. 4th,March,2020,"$139,129.39","$136,821.22","$2,308.17",98.340990354374%,12-01-2020 04:03 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,March - 2020,55,Bailey Tech Group QB <61083822.deca>,1,1: September - 2024,September - 2024,3,7,no
1: April - 2020,Campustown 1008 S. 4th,April,2020,"$139,515.21","$135,121.51","$4,393.7",96.85073763642%,12-01-2020 04:05 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,April - 2020,73,Bailey Tech Group QB <61083822.deca>,1,1: September - 2024,September - 2024,4,8,no
1: May - 2020,Campustown 1008 S. 4th,May,2020,"$139,252.37","$132,743.61","$6,508.76",95.325925153015%,12-01-2020 04:21 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,May - 2020,91,Bailey Tech Group QB <61083822.deca>,1,1: September - 2024,September - 2024,5,9,no
1: June - 2020,Campustown 1008 S. 4th,June,2020,"$137,027.52","$129,726.64","$7,300.88",94.671960785687%,12-01-2020 04:24 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,June - 2020,109,Bailey Tech Group QB <61083822.deca>,1,1: September - 2024,September - 2024,6,10,no
1: July - 2020,Campustown 1008 S. 4th,July,2020,"$142,587.47","$136,198.91","$6,388.56",95.519550210127%,12-01-2020 04:26 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,July - 2020,127,Bailey Tech Group QB <61083822.deca>,1,1: September - 2024,September - 2024,7,11,no
1: August - 2020,Campustown 1008 S. 4th,August,2020,"$97,518.75","$84,588.7","$12,930.05",86.740960071781%,12-01-2020 04:28 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,August - 2020,145,Bailey Tech Group QB <61083822.deca>,1,1: September - 2024,September - 2024,8,12,no
1: September - 2020,Campustown 1008 S. 4th,September,2020,"$89,588","$85,972.14","$3,615.86",95.963901415368%,12-01-2020 04:31 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,September - 2020,163,Bailey Tech Group QB <61083822.deca>,1,1: September - 2024,September - 2024,9,1,no
1: October - 2020,Campustown 1008 S. 4th,October,2020,"$91,275.99","$89,918.99","$1,357",98.51330015703%,12-01-2020 04:34 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,October - 2020,181,Bailey Tech Group QB <61083822.deca>,1,1: September - 2024,September - 2024,10,2,no
1: November - 2020,Campustown 1008 S. 4th,November,2020,"$90,311.54","$88,843.56","$1,467.98",98.37453773903%,12-01-2020 04:36 PM,12-06-2020 11:29 PM,Bailey Tech Group QB <61083822.deca>,November - 2020,199,Bailey Tech Group QB <61083822.deca>,1,1: September - 2024,September - 2024,11,3,no
1: January - 2021,Campustown 1008 S. 4th,January,2021,"$92,237","$88,807","$3,430",96.28131877663%,01-04-2021 05:13 PM,01-25-2021 03:08 PM,JT Bailey <62477437.bhmt>,January - 2021,217,JT Bailey <62477437.bhmt>,1,1: September - 2024,September - 2024,1,5,no
3: December - 2020,Campustown 307 E. Daniel,December,2020,"$14,510","$14,510",,100%,12-01-2020 03:44 PM,12-06-2020 11:26 PM,Bailey Tech Group QB <61083822.deca>,December - 2020,3,Bailey Tech Group QB <61083822.deca>,3,3: September - 2024,September - 2024,12,4,no
3: January - 2020,Campustown 307 E. Daniel,January,2020,"$37,120","$31,812.5","$5,307.5",85.70177801724%,12-01-2020 03:54 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,January - 2020,21,Bailey Tech Group QB <61083822.deca>,3,3: September - 2024,September - 2024,1,5,no
3: February - 2020,Campustown 307 E. Daniel,February,2020,"$35,305","$34,287.5","$1,017.5",97.117971958646%,12-01-2020 04:00 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,February - 2020,39,Bailey Tech Group QB <61083822.deca>,3,3: September - 2024,September - 2024,2,6,no
3: March - 2020,Campustown 307 E. Daniel,March,2020,"$36,582.42","$33,568.76","$3,013.66",91.761999342854%,12-01-2020 04:03 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,March - 2020,57,Bailey Tech Group QB <61083822.deca>,3,3: September - 2024,September - 2024,3,7,no
3: April - 2020,Campustown 307 E. Daniel,April,2020,"$35,303.92","$31,710","$3,593.92",89.82005397701%,12-01-2020 04:05 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,April - 2020,75,Bailey Tech Group QB <61083822.deca>,3,3: September - 2024,September - 2024,4,8,no
3: May - 2020,Campustown 307 E. Daniel,May,2020,"$35,306.43","$35,250.39",$56.04,99.841275371087%,12-01-2020 04:21 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,May - 2020,93,Bailey Tech Group QB <61083822.deca>,3,3: September - 2024,September - 2024,5,9,no
3: June - 2020,Campustown 307 E. Daniel,June,2020,"$35,793.89","$35,268.89",$525,98.533269225558%,12-01-2020 04:24 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,June - 2020,111,Bailey Tech Group QB <61083822.deca>,3,3: September - 2024,September - 2024,6,10,no
3: July - 2020,Campustown 307 E. Daniel,July,2020,"$35,220.91","$33,036.6","$2,184.31",93.79825790986%,12-01-2020 04:26 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,July - 2020,129,Bailey Tech Group QB <61083822.deca>,3,3: September - 2024,September - 2024,7,11,no
3: August - 2020,Campustown 307 E. Daniel,August,2020,"$15,260","$15,260",,100%,12-01-2020 04:28 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,August - 2020,147,Bailey Tech Group QB <61083822.deca>,3,3: September - 2024,September - 2024,8,12,no
3: September - 2020,Campustown 307 E. Daniel,September,2020,"$14,735","$14,685",$50,99.660671869698%,12-01-2020 04:31 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,September - 2020,165,Bailey Tech Group QB <61083822.deca>,3,3: September - 2024,September - 2024,9,1,no
3: October - 2020,Campustown 307 E. Daniel,October,2020,"$14,435","$14,435",,100%,12-01-2020 04:34 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,October - 2020,183,Bailey Tech Group QB <61083822.deca>,3,3: September - 2024,September - 2024,10,2,no
3: November - 2020,Campustown 307 E. Daniel,November,2020,"$14,494.63","$14,485",$9.63,99.93356160178%,12-01-2020 04:36 PM,12-06-2020 11:29 PM,Bailey Tech Group QB <61083822.deca>,November - 2020,201,Bailey Tech Group QB <61083822.deca>,3,3: September - 2024,September - 2024,11,3,no
3: January - 2021,Campustown 307 E. Daniel,January,2021,"$14,510","$14,510",,100%,01-04-2021 05:13 PM,01-25-2021 03:08 PM,JT Bailey <62477437.bhmt>,January - 2021,219,JT Bailey <62477437.bhmt>,3,3: September - 2024,September - 2024,1,5,no
4: December - 2020,Campustown 501 S. 6th,December,2020,"$29,531","$25,585.33","$3,945.67",86.638887948258%,12-01-2020 03:44 PM,12-06-2020 11:26 PM,Bailey Tech Group QB <61083822.deca>,December - 2020,4,Bailey Tech Group QB <61083822.deca>,4,4: September - 2024,September - 2024,12,4,no
4: January - 2020,Campustown 501 S. 6th,January,2020,"$80,794.55","$75,861.83","$4,932.72",93.89473671182%,12-01-2020 03:54 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,January - 2020,22,Bailey Tech Group QB <61083822.deca>,4,4: September - 2024,September - 2024,1,5,no
4: February - 2020,Campustown 501 S. 6th,February,2020,"$80,115","$73,640.09","$6,474.91",91.91798040317%,12-01-2020 04:00 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,February - 2020,40,Bailey Tech Group QB <61083822.deca>,4,4: September - 2024,September - 2024,2,6,no
4: March - 2020,Campustown 501 S. 6th,March,2020,"$82,882.53","$81,342.18","$1,540.35",98.141526326477%,12-01-2020 04:03 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,March - 2020,58,Bailey Tech Group QB <61083822.deca>,4,4: September - 2024,September - 2024,3,7,no
4: April - 2020,Campustown 501 S. 6th,April,2020,"$79,598.99","$77,838.93","$1,760.06",97.788841290574%,12-01-2020 04:05 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,April - 2020,76,Bailey Tech Group QB <61083822.deca>,4,4: September - 2024,September - 2024,4,8,no
4: May - 2020,Campustown 501 S. 6th,May,2020,"$80,412.31","$78,656.33","$1,755.98",97.816279621864%,12-01-2020 04:21 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,May - 2020,94,Bailey Tech Group QB <61083822.deca>,4,4: September - 2024,September - 2024,5,9,no
4: June - 2020,Campustown 501 S. 6th,June,2020,"$80,425.71","$78,675.71","$1,750",97.824078892185%,12-01-2020 04:24 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,June - 2020,112,Bailey Tech Group QB <61083822.deca>,4,4: September - 2024,September - 2024,6,10,no
4: July - 2020,Campustown 501 S. 6th,July,2020,"$80,450.5","$78,700.5","$1,750",97.824749380054%,12-01-2020 04:26 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,July - 2020,130,Bailey Tech Group QB <61083822.deca>,4,4: September - 2024,September - 2024,7,11,no
4: August - 2020,Campustown 501 S. 6th,August,2020,"$29,227.28","$25,621.32","$3,605.96",87.662348326632%,12-01-2020 04:28 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,August - 2020,148,Bailey Tech Group QB <61083822.deca>,4,4: September - 2024,September - 2024,8,12,no
4: September - 2020,Campustown 501 S. 6th,September,2020,"$30,635.41","$27,996","$2,639.41",91.384446952073%,12-01-2020 04:31 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,September - 2020,166,Bailey Tech Group QB <61083822.deca>,4,4: September - 2024,September - 2024,9,1,no
4: October - 2020,Campustown 501 S. 6th,October,2020,"$29,746.57","$28,237.85","$1,508.72",94.928087507232%,12-01-2020 04:34 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,October - 2020,184,Bailey Tech Group QB <61083822.deca>,4,4: September - 2024,September - 2024,10,2,no
4: November - 2020,Campustown 501 S. 6th,November,2020,"$29,676.44","$28,270.96","$1,405.48",95.263987189838%,12-01-2020 04:36 PM,12-06-2020 11:29 PM,Bailey Tech Group QB <61083822.deca>,November - 2020,202,Bailey Tech Group QB <61083822.deca>,4,4: September - 2024,September - 2024,11,3,no
