Monthly Collection Key,Property Name,Month,Year,Final Scheduled Rent,Final Rent Collected,Final Delinquency,Percentage of Rent Paid,Date Created,Date Modified,Last Modified By,Month - Year,Record ID#,Record Owner,Related Property,xMonthlyCollectionKey,xMonthYear,Year Order,Term Order,Property - Live
12: January - 2021,Station Nine,January,2021,"$582,304.12","$582,065.12",$239,99.958956155076%,01-04-2021 05:13 PM,01-25-2021 03:08 PM,JT Bailey <62477437.bhmt>,January - 2021,228,JT Bailey <62477437.bhmt>,12,12: September - 2024,September - 2024,1,5,no
13: December - 2020,The Academy at Frisco,December,2020,"$405,696.99","$372,898.7","$32,798.29",91.915569795083%,12-01-2020 03:44 PM,12-06-2020 11:26 PM,Bailey Tech Group QB <61083822.deca>,December - 2020,13,Bailey Tech Group QB <61083822.deca>,13,13: September - 2024,September - 2024,12,4,no
13: January - 2020,The Academy at Frisco,January,2020,"$341,880.04","$338,738.27","$3,141.77",99.08103146355%,12-01-2020 03:54 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,January - 2020,31,Bailey Tech Group QB <61083822.deca>,13,13: September - 2024,September - 2024,1,5,no
13: February - 2020,The Academy at Frisco,February,2020,"$338,591.23","$338,349.58",$241.65,99.928630756325%,12-01-2020 04:00 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,February - 2020,49,Bailey Tech Group QB <61083822.deca>,13,13: September - 2024,September - 2024,2,6,no
13: March - 2020,The Academy at Frisco,March,2020,"$343,629.09","$340,002.34","$3,626.75",98.944574221%,12-01-2020 04:03 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,March - 2020,67,Bailey Tech Group QB <61083822.deca>,13,13: September - 2024,September - 2024,3,7,no
13: April - 2020,The Academy at Frisco,April,2020,"$341,916.65","$332,811.68","$9,104.97",97.33707908053%,12-01-2020 04:05 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,April - 2020,85,Bailey Tech Group QB <61083822.deca>,13,13: September - 2024,September - 2024,4,8,no
13: May - 2020,The Academy at Frisco,May,2020,"$343,790","$337,459.69","$6,330.31",98.158669536636%,12-01-2020 04:21 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,May - 2020,103,Bailey Tech Group QB <61083822.deca>,13,13: September - 2024,September - 2024,5,9,no
13: June - 2020,The Academy at Frisco,June,2020,"$345,735.46","$337,890.44","$7,845.02",97.730918315408%,12-01-2020 04:24 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,June - 2020,121,Bailey Tech Group QB <61083822.deca>,13,13: September - 2024,September - 2024,6,10,no
13: July - 2020,The Academy at Frisco,July,2020,"$348,327.42","$338,262.54","$10,064.88",97.110511713376%,12-01-2020 04:26 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,July - 2020,139,Bailey Tech Group QB <61083822.deca>,13,13: September - 2024,September - 2024,7,11,no
13: August - 2020,The Academy at Frisco,August,2020,"$420,124.79","$413,539.62","$6,585.17",98.432568094827%,12-01-2020 04:28 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,August - 2020,157,Bailey Tech Group QB <61083822.deca>,13,13: September - 2024,September - 2024,8,12,no
13: September - 2020,The Academy at Frisco,September,2020,"$394,235.5","$389,289.5","$4,946",98.74541993301%,12-01-2020 04:31 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,September - 2020,175,Bailey Tech Group QB <61083822.deca>,13,13: September - 2024,September - 2024,9,1,no
13: October - 2020,The Academy at Frisco,October,2020,"$390,831.8","$385,135.35","$5,696.45",98.542480422524%,12-01-2020 04:34 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,October - 2020,193,Bailey Tech Group QB <61083822.deca>,13,13: September - 2024,September - 2024,10,2,no
13: November - 2020,The Academy at Frisco,November,2020,"$389,044.19","$385,344.93","$3,699.26",99.049141435578%,12-01-2020 04:36 PM,12-06-2020 11:29 PM,Bailey Tech Group QB <61083822.deca>,November - 2020,211,Bailey Tech Group QB <61083822.deca>,13,13: September - 2024,September - 2024,11,3,no
13: January - 2021,The Academy at Frisco,January,2021,"$407,593.69","$386,610.31","$20,983.38",94.851887918088%,01-04-2021 05:13 PM,01-25-2021 03:08 PM,JT Bailey <62477437.bhmt>,January - 2021,229,JT Bailey <62477437.bhmt>,13,13: September - 2024,September - 2024,1,5,no
14: December - 2020,The Academy Chorro,December,2020,"$101,060.25","$97,970.5","$3,089.75",96.9426653902%,12-01-2020 03:44 PM,12-06-2020 11:26 PM,Bailey Tech Group QB <61083822.deca>,December - 2020,14,Bailey Tech Group QB <61083822.deca>,14,14: September - 2024,September - 2024,12,4,yes
14: January - 2020,The Academy Chorro,January,2020,"$113,339.9","$113,294.65",$45.25,99.960075842664%,12-01-2020 03:54 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,January - 2020,32,Bailey Tech Group QB <61083822.deca>,14,14: September - 2024,September - 2024,1,5,yes
14: February - 2020,The Academy Chorro,February,2020,"$115,888.5","$115,584.5",$304,99.737678889622%,12-01-2020 04:00 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,February - 2020,50,Bailey Tech Group QB <61083822.deca>,14,14: September - 2024,September - 2024,2,6,yes
14: March - 2020,The Academy Chorro,March,2020,"$114,849.25","$114,849.25",,100%,12-01-2020 04:03 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,March - 2020,68,Bailey Tech Group QB <61083822.deca>,14,14: September - 2024,September - 2024,3,7,yes
14: April - 2020,The Academy Chorro,April,2020,"$113,992","$106,504","$7,488",93.43111797319%,12-01-2020 04:05 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,April - 2020,86,Bailey Tech Group QB <61083822.deca>,14,14: September - 2024,September - 2024,4,8,yes
14: May - 2020,The Academy Chorro,May,2020,"$113,767","$107,324","$6,443",94.33667056352%,12-01-2020 04:21 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,May - 2020,104,Bailey Tech Group QB <61083822.deca>,14,14: September - 2024,September - 2024,5,9,yes
14: June - 2020,The Academy Chorro,June,2020,"$101,706","$95,133","$6,573",93.537254439266%,12-01-2020 04:24 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,June - 2020,122,Bailey Tech Group QB <61083822.deca>,14,14: September - 2024,September - 2024,6,10,yes
14: July - 2020,The Academy Chorro,July,2020,"$95,214","$89,414","$5,800",93.908458840087%,12-01-2020 04:26 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,July - 2020,140,Bailey Tech Group QB <61083822.deca>,14,14: September - 2024,September - 2024,7,11,yes
14: August - 2020,The Academy Chorro,August,2020,"$33,469","$33,394",$75,99.775912038005%,12-01-2020 04:28 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,August - 2020,158,Bailey Tech Group QB <61083822.deca>,14,14: September - 2024,September - 2024,8,12,yes
14: September - 2020,The Academy Chorro,September,2020,"$98,553.05","$98,553.05",,100%,12-01-2020 04:31 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,September - 2020,176,Bailey Tech Group QB <61083822.deca>,14,14: September - 2024,September - 2024,9,1,yes
14: October - 2020,The Academy Chorro,October,2020,"$92,537.5","$92,537.5",,100%,12-01-2020 04:34 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,October - 2020,194,Bailey Tech Group QB <61083822.deca>,14,14: September - 2024,September - 2024,10,2,yes
14: November - 2020,The Academy Chorro,November,2020,"$99,957","$99,907",$50,99.949978490751%,12-01-2020 04:36 PM,12-06-2020 11:29 PM,Bailey Tech Group QB <61083822.deca>,November - 2020,212,Bailey Tech Group QB <61083822.deca>,14,14: September - 2024,September - 2024,11,3,yes
14: January - 2021,The Academy Chorro,January,2021,"$100,436.25","$100,386.25",$50,99.950217177563%,01-04-2021 05:13 PM,01-25-2021 03:08 PM,JT Bailey <62477437.bhmt>,January - 2021,230,JT Bailey <62477437.bhmt>,14,14: September - 2024,September - 2024,1,5,yes
15: December - 2020,The Academy on Charles,December,2020,"$366,920.75","$359,751.25","$7,169.5",98.046035826537%,12-01-2020 03:44 PM,12-06-2020 11:26 PM,Bailey Tech Group QB <61083822.deca>,December - 2020,15,Bailey Tech Group QB <61083822.deca>,15,15: September - 2024,September - 2024,12,4,no
15: January - 2020,The Academy on Charles,January,2020,"$383,846.15","$380,326.65","$3,519.5",99.083096183197%,12-01-2020 03:54 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,January - 2020,33,Bailey Tech Group QB <61083822.deca>,15,15: September - 2024,September - 2024,1,5,no
15: February - 2020,The Academy on Charles,February,2020,"$382,728.9","$382,016.45",$712.45,99.813849960115%,12-01-2020 04:00 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,February - 2020,51,Bailey Tech Group QB <61083822.deca>,15,15: September - 2024,September - 2024,2,6,no
15: March - 2020,The Academy on Charles,March,2020,"$382,377.26","$382,042.26",$335,99.912390187638%,12-01-2020 04:03 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,March - 2020,69,Bailey Tech Group QB <61083822.deca>,15,15: September - 2024,September - 2024,3,7,no
15: April - 2020,The Academy on Charles,April,2020,"$381,956","$367,929","$14,027",96.327587470808%,12-01-2020 04:05 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,April - 2020,87,Bailey Tech Group QB <61083822.deca>,15,15: September - 2024,September - 2024,4,8,no
15: May - 2020,The Academy on Charles,May,2020,"$381,966","$370,273","$11,693",96.93873276679%,12-01-2020 04:21 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,May - 2020,105,Bailey Tech Group QB <61083822.deca>,15,15: September - 2024,September - 2024,5,9,no
15: June - 2020,The Academy on Charles,June,2020,"$382,119.25","$372,407.5","$9,711.75",97.458450470632%,12-01-2020 04:24 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,June - 2020,123,Bailey Tech Group QB <61083822.deca>,15,15: September - 2024,September - 2024,6,10,no
15: July - 2020,The Academy on Charles,July,2020,"$378,893.75","$372,201","$6,692.75",98.233607706646%,12-01-2020 04:26 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,July - 2020,141,Bailey Tech Group QB <61083822.deca>,15,15: September - 2024,September - 2024,7,11,no
15: August - 2020,The Academy on Charles,August,2020,"$212,722","$201,858","$10,864",94.89286486588%,12-01-2020 04:28 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,August - 2020,159,Bailey Tech Group QB <61083822.deca>,15,15: September - 2024,September - 2024,8,12,no
15: September - 2020,The Academy on Charles,September,2020,"$384,429.75","$375,556","$8,873.75",97.691710904268%,12-01-2020 04:31 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,September - 2020,177,Bailey Tech Group QB <61083822.deca>,15,15: September - 2024,September - 2024,9,1,no
15: October - 2020,The Academy on Charles,October,2020,"$367,168.2","$367,065.95",$102.25,99.972151727737%,12-01-2020 04:34 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,October - 2020,195,Bailey Tech Group QB <61083822.deca>,15,15: September - 2024,September - 2024,10,2,no
15: November - 2020,The Academy on Charles,November,2020,"$366,985.7","$366,710.7",$275,99.925065200088%,12-01-2020 04:36 PM,12-06-2020 11:29 PM,Bailey Tech Group QB <61083822.deca>,November - 2020,213,Bailey Tech Group QB <61083822.deca>,15,15: September - 2024,September - 2024,11,3,no
15: January - 2021,The Academy on Charles,January,2021,"$371,862","$369,012","$2,850",99.233586653113%,01-04-2021 05:13 PM,01-25-2021 03:08 PM,JT Bailey <62477437.bhmt>,January - 2021,231,JT Bailey <62477437.bhmt>,15,15: September - 2024,September - 2024,1,5,no
16: December - 2020,The Academy Palomar,December,2020,"$157,724.75","$141,973","$15,751.75",90.013139979616%,12-01-2020 03:44 PM,12-06-2020 11:26 PM,Bailey Tech Group QB <61083822.deca>,December - 2020,16,Bailey Tech Group QB <61083822.deca>,16,16: September - 2024,September - 2024,12,4,yes
16: January - 2020,The Academy Palomar,January,2020,"$85,782.5","$85,532.5",$250,99.70856526681%,12-01-2020 03:54 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,January - 2020,34,Bailey Tech Group QB <61083822.deca>,16,16: September - 2024,September - 2024,1,5,yes
16: February - 2020,The Academy Palomar,February,2020,"$89,767.5","$89,017.5",$750,99.164508313142%,12-01-2020 04:00 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,February - 2020,52,Bailey Tech Group QB <61083822.deca>,16,16: September - 2024,September - 2024,2,6,yes
16: March - 2020,The Academy Palomar,March,2020,"$88,072.75","$87,461.5",$611.25,99.305971483802%,12-01-2020 04:03 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,March - 2020,70,Bailey Tech Group QB <61083822.deca>,16,16: September - 2024,September - 2024,3,7,yes
16: April - 2020,The Academy Palomar,April,2020,"$87,867.5","$81,831.25","$6,036.25",93.130281389592%,12-01-2020 04:05 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,April - 2020,88,Bailey Tech Group QB <61083822.deca>,16,16: September - 2024,September - 2024,4,8,yes
16: May - 2020,The Academy Palomar,May,2020,"$86,809.5","$79,083.25","$7,726.25",91.099764426704%,12-01-2020 04:21 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,May - 2020,106,Bailey Tech Group QB <61083822.deca>,16,16: September - 2024,September - 2024,5,9,yes
16: June - 2020,The Academy Palomar,June,2020,"$79,324.5","$70,714.5","$8,610",89.145850273245%,12-01-2020 04:24 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,June - 2020,124,Bailey Tech Group QB <61083822.deca>,16,16: September - 2024,September - 2024,6,10,yes
16: July - 2020,The Academy Palomar,July,2020,"$58,324.5","$52,131.5","$6,193",89.381820675702%,12-01-2020 04:26 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,July - 2020,142,Bailey Tech Group QB <61083822.deca>,16,16: September - 2024,September - 2024,7,11,yes
16: August - 2020,The Academy Palomar,August,2020,"$89,022","$82,097","$6,925",92.221024016535%,12-01-2020 04:28 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,August - 2020,160,Bailey Tech Group QB <61083822.deca>,16,16: September - 2024,September - 2024,8,12,yes
16: September - 2020,The Academy Palomar,September,2020,"$154,599.5","$151,724.25","$2,875.25",98.14019450257%,12-01-2020 04:31 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,September - 2020,178,Bailey Tech Group QB <61083822.deca>,16,16: September - 2024,September - 2024,9,1,yes
16: October - 2020,The Academy Palomar,October,2020,"$157,443.3","$156,003.3","$1,440",99.085385024323%,12-01-2020 04:34 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,October - 2020,196,Bailey Tech Group QB <61083822.deca>,16,16: September - 2024,September - 2024,10,2,yes
16: November - 2020,The Academy Palomar,November,2020,"$155,891","$155,891",,100%,12-01-2020 04:36 PM,12-06-2020 11:29 PM,Bailey Tech Group QB <61083822.deca>,November - 2020,214,Bailey Tech Group QB <61083822.deca>,16,16: September - 2024,September - 2024,11,3,yes
16: January - 2021,The Academy Palomar,January,2021,"$151,394.5","$151,144.5",$250,99.83486850579%,01-04-2021 05:13 PM,01-25-2021 03:08 PM,JT Bailey <62477437.bhmt>,January - 2021,232,JT Bailey <62477437.bhmt>,16,16: September - 2024,September - 2024,1,5,yes
18: December - 2020,The Dean Campustown,December,2020,"$294,767.85","$274,323","$20,444.85",93.06408415979%,12-01-2020 03:44 PM,12-06-2020 11:26 PM,Bailey Tech Group QB <61083822.deca>,December - 2020,18,Bailey Tech Group QB <61083822.deca>,18,18: September - 2024,September - 2024,12,4,no
18: January - 2020,The Dean Campustown,January,2020,,$0,,,12-01-2020 03:54 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,January - 2020,36,Bailey Tech Group QB <61083822.deca>,18,18: September - 2024,September - 2024,1,5,no
18: February - 2020,The Dean Campustown,February,2020,,$0,,,12-01-2020 04:00 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,February - 2020,54,Bailey Tech Group QB <61083822.deca>,18,18: September - 2024,September - 2024,2,6,no
18: March - 2020,The Dean Campustown,March,2020,,$0,,,12-01-2020 04:03 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,March - 2020,72,Bailey Tech Group QB <61083822.deca>,18,18: September - 2024,September - 2024,3,7,no
18: April - 2020,The Dean Campustown,April,2020,,$0,,,12-01-2020 04:05 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,April - 2020,90,Bailey Tech Group QB <61083822.deca>,18,18: September - 2024,September - 2024,4,8,no
18: May - 2020,The Dean Campustown,May,2020,,$0,,,12-01-2020 04:21 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,May - 2020,108,Bailey Tech Group QB <61083822.deca>,18,18: September - 2024,September - 2024,5,9,no
18: June - 2020,The Dean Campustown,June,2020,,$0,,,12-01-2020 04:24 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,June - 2020,126,Bailey Tech Group QB <61083822.deca>,18,18: September - 2024,September - 2024,6,10,no
18: July - 2020,The Dean Campustown,July,2020,,$0,,,12-01-2020 04:26 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,July - 2020,144,Bailey Tech Group QB <61083822.deca>,18,18: September - 2024,September - 2024,7,11,no
18: August - 2020,The Dean Campustown,August,2020,"$327,698","$299,770","$27,928",91.477518935117%,12-01-2020 04:28 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,August - 2020,162,Bailey Tech Group QB <61083822.deca>,18,18: September - 2024,September - 2024,8,12,no
18: September - 2020,The Dean Campustown,September,2020,"$302,499","$292,363","$10,136",96.649245121471%,12-01-2020 04:31 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,September - 2020,180,Bailey Tech Group QB <61083822.deca>,18,18: September - 2024,September - 2024,9,1,no
18: October - 2020,The Dean Campustown,October,2020,"$295,234","$289,295","$5,939",97.988375322625%,12-01-2020 04:34 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,October - 2020,198,Bailey Tech Group QB <61083822.deca>,18,18: September - 2024,September - 2024,10,2,no
18: November - 2020,The Dean Campustown,November,2020,"$298,051.9","$293,114.88","$4,937.02",98.343570364759%,12-01-2020 04:36 PM,12-06-2020 11:29 PM,Bailey Tech Group QB <61083822.deca>,November - 2020,216,Bailey Tech Group QB <61083822.deca>,18,18: September - 2024,September - 2024,11,3,no
18: January - 2021,The Dean Campustown,January,2021,"$297,604.65","$289,957.9","$7,646.75",97.430567701143%,01-04-2021 05:13 PM,01-25-2021 03:08 PM,JT Bailey <62477437.bhmt>,January - 2021,234,JT Bailey <62477437.bhmt>,18,18: September - 2024,September - 2024,1,5,no
17: December - 2020,The Rise at Northgate,December,2020,"$371,906.51","$356,020.51","$15,886",95.728496390128%,12-01-2020 03:44 PM,12-06-2020 11:26 PM,Bailey Tech Group QB <61083822.deca>,December - 2020,17,Bailey Tech Group QB <61083822.deca>,17,17: September - 2024,September - 2024,12,4,no
17: January - 2020,The Rise at Northgate,January,2020,"$338,649.95","$338,619.95",$30,99.991141295016%,12-01-2020 03:54 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,January - 2020,35,Bailey Tech Group QB <61083822.deca>,17,17: September - 2024,September - 2024,1,5,no
17: February - 2020,The Rise at Northgate,February,2020,"$341,042.25","$341,042.25",,100%,12-01-2020 04:00 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,February - 2020,53,Bailey Tech Group QB <61083822.deca>,17,17: September - 2024,September - 2024,2,6,no
17: March - 2020,The Rise at Northgate,March,2020,"$343,435.29","$343,435.29",,100%,12-01-2020 04:03 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,March - 2020,71,Bailey Tech Group QB <61083822.deca>,17,17: September - 2024,September - 2024,3,7,no
17: April - 2020,The Rise at Northgate,April,2020,"$341,450.75","$339,130.75","$2,320",99.320546228116%,12-01-2020 04:05 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,April - 2020,89,Bailey Tech Group QB <61083822.deca>,17,17: September - 2024,September - 2024,4,8,no
17: May - 2020,The Rise at Northgate,May,2020,"$342,293.41","$337,201.09","$5,092.32",98.512293882608%,12-01-2020 04:21 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,May - 2020,107,Bailey Tech Group QB <61083822.deca>,17,17: September - 2024,September - 2024,5,9,no
17: June - 2020,The Rise at Northgate,June,2020,"$341,316.81","$332,954","$8,362.81",97.54983939994%,12-01-2020 04:24 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,June - 2020,125,Bailey Tech Group QB <61083822.deca>,17,17: September - 2024,September - 2024,6,10,no
17: July - 2020,The Rise at Northgate,July,2020,"$346,977.53","$343,309","$3,668.53",98.942718279192%,12-01-2020 04:26 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,July - 2020,143,Bailey Tech Group QB <61083822.deca>,17,17: September - 2024,September - 2024,7,11,no
17: August - 2020,The Rise at Northgate,August,2020,"$352,864.98","$352,139.98",$725,99.794538976353%,12-01-2020 04:28 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,August - 2020,161,Bailey Tech Group QB <61083822.deca>,17,17: September - 2024,September - 2024,8,12,no
17: September - 2020,The Rise at Northgate,September,2020,"$372,844.29","$368,858.92","$3,985.37",98.931089973243%,12-01-2020 04:31 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,September - 2020,179,Bailey Tech Group QB <61083822.deca>,17,17: September - 2024,September - 2024,9,1,no
17: October - 2020,The Rise at Northgate,October,2020,"$372,133.9","$368,002.76","$4,131.14",98.88987807883%,12-01-2020 04:34 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,October - 2020,197,Bailey Tech Group QB <61083822.deca>,17,17: September - 2024,September - 2024,10,2,no
17: November - 2020,The Rise at Northgate,November,2020,"$372,037.06","$368,281.13","$3,755.93",98.99044197371%,12-01-2020 04:36 PM,12-06-2020 11:29 PM,Bailey Tech Group QB <61083822.deca>,November - 2020,215,Bailey Tech Group QB <61083822.deca>,17,17: September - 2024,September - 2024,11,3,no
17: January - 2021,The Rise at Northgate,January,2021,"$372,128.73","$368,296.01","$3,832.72",98.97005533542%,01-04-2021 05:13 PM,01-25-2021 03:08 PM,JT Bailey <62477437.bhmt>,January - 2021,233,JT Bailey <62477437.bhmt>,17,17: September - 2024,September - 2024,1,5,no
