Refresh key: Property,Refresh key: Unit Type,Unit Type,Related Floorplan,Floorplan Name,Property / FP / SO,Case Builder,xSystem - Case Builder,Floorplan Name2,"Floorplan - # of Signed Leases, Current Term",Refresh key: Space Option ( Actual ),Pre-Leased - Total,Occupied (Current),Pre-Leased - New Lease,Pre-Leased - Renewal,Pre-Leased - %,Date Created,Date Modified,Record ID#,Record Owner,Last Modified By,Refresh key
Shortbread Lofts,B3,B3,205,B3 (Private),Shortbread Lofts - B3 - Private No Window,,"""Shortbread Lofts - B3 - Private No Window"", ""205"",",B3 (Private),2,Private No Window,1,1,1,0,0.5000,01-03-2023 04:49 PM,01-03-2023 04:51 PM,337,Connected Data Service <3000.e5kr>,JT Bailey <62477437.bhmt>,Shortbread Lofts_B3_Private No Window
Shortbread Lofts,C1,C1,208,C1 (Shared),Shortbread Lofts - C1 - Shared Top Floor Window,,"""Shortbread Lofts - C1 - Shared Top Floor Window"", ""208"",",C1 (Shared),16,Shared Top Floor Window,0,0,0,0,0.0000,01-03-2023 04:49 PM,01-03-2023 04:51 PM,338,Connected Data Service <3000.e5kr>,JT Bailey <62477437.bhmt>,Shortbread Lofts_C1_Shared Top Floor Window
Shortbread Lofts,C3,C3,210,C3 (Private),Shortbread Lofts - C3 - Private Top Floor No Window,,"""Shortbread Lofts - C3 - Private Top Floor No Window"", ""210"",",C3 (Private),10,Private Top Floor No Window,2,2,2,0,0.1000,01-03-2023 04:49 PM,01-03-2023 04:51 PM,339,Connected Data Service <3000.e5kr>,JT Bailey <62477437.bhmt>,Shortbread Lofts_C3_Private Top Floor No Window
Shortbread Lofts,C3,C3,211,C3 (Shared),Shortbread Lofts - C3 - Shared Top Floor Window,,"""Shortbread Lofts - C3 - Shared Top Floor Window"", ""211"",",C3 (Shared),10,Shared Top Floor Window,2,2,2,0,0.1000,01-03-2023 04:49 PM,01-03-2023 04:51 PM,340,Connected Data Service <3000.e5kr>,JT Bailey <62477437.bhmt>,Shortbread Lofts_C3_Shared Top Floor Window
The Rise at Northgate,D2,D2,233,D2,The Rise at Northgate - D2 - Penthouse Standard Bedroom,,"""The Rise at Northgate - D2 - Penthouse Standard Bedroom"", ""233"",",D2,4,Penthouse Standard Bedroom,2,2,1,1,0.5000,01-03-2023 04:49 PM,01-03-2023 04:51 PM,345,Connected Data Service <3000.e5kr>,JT Bailey <62477437.bhmt>,The Rise at Northgate_D2_Penthouse Standard Bedroom
The Rise at Northgate,E3,E3,238,E3 Penthouse,The Rise at Northgate - E3 - Penthouse Balcony Private Bathroom,,"""The Rise at Northgate - E3 - Penthouse Balcony Private Bathroom"", ""238"",",E3 Penthouse,5,Penthouse Balcony Private Bathroom,3,3,2,1,0.6000,01-03-2023 04:49 PM,01-03-2023 04:51 PM,346,Connected Data Service <3000.e5kr>,JT Bailey <62477437.bhmt>,The Rise at Northgate_E3_Penthouse Balcony Private Bathroom
The Rise at Northgate,E3,E3,238,E3 Penthouse,The Rise at Northgate - E3 - Penthouse Balcony Standard Bedroom,,"""The Rise at Northgate - E3 - Penthouse Balcony Standard Bedroom"", ""238"",",E3 Penthouse,5,Penthouse Balcony Standard Bedroom,2,2,0,2,0.4000,01-03-2023 04:49 PM,01-03-2023 04:51 PM,347,Connected Data Service <3000.e5kr>,JT Bailey <62477437.bhmt>,The Rise at Northgate_E3_Penthouse Balcony Standard Bedroom
The Rise at Northgate,S1,S1,219,S1 Aerial,The Rise at Northgate - S1 - Aerial Standard Bedroom,,"""The Rise at Northgate - S1 - Aerial Standard Bedroom"", ""219"",",S1 Aerial,6,Aerial Standard Bedroom,6,6,6,0,0.2857,01-03-2023 04:49 PM,01-03-2023 04:51 PM,348,Connected Data Service <3000.e5kr>,JT Bailey <62477437.bhmt>,The Rise at Northgate_S1_Aerial Standard Bedroom
The Rise at Northgate,S1,S1,220,S1 Penthouse,The Rise at Northgate - S1 - Penthouse Standard Bedroom,,"""The Rise at Northgate - S1 - Penthouse Standard Bedroom"", ""220"",",S1 Penthouse,1,Penthouse Standard Bedroom,1,1,1,0,0.0476,01-03-2023 04:49 PM,01-03-2023 04:51 PM,349,Connected Data Service <3000.e5kr>,JT Bailey <62477437.bhmt>,The Rise at Northgate_S1_Penthouse Standard Bedroom
Shortbread Lofts,B2,B2,203,B2 (Private),Shortbread Lofts - B2 - Private Top Floor No Window,,"""Shortbread Lofts - B2 - Private Top Floor No Window"", ""203"",",B2 (Private),10,Private Top Floor No Window,1,1,1,0,0.0833,01-21-2022 05:59 PM,01-03-2023 04:49 PM,182,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_B2_Private Top Floor No Window
Shortbread Lofts,B2,B2,203,B2 (Private),Shortbread Lofts - B2 - Private Top Floor Window,,"""Shortbread Lofts - B2 - Private Top Floor Window"", ""203"",",B2 (Private),10,Private Top Floor Window,1,1,1,0,0.0833,01-21-2022 05:59 PM,01-03-2023 04:49 PM,183,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_B2_Private Top Floor Window
Shortbread Lofts,B3,B3,205,B3 (Private),Shortbread Lofts - B3 - Private Window,,"""Shortbread Lofts - B3 - Private Window"", ""205"",",B3 (Private),2,Private Window,1,1,1,0,0.5000,01-21-2022 05:59 PM,01-03-2023 04:49 PM,190,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_B3_Private Window
Shortbread Lofts,B4,B4,206,B4 (Private),Shortbread Lofts - B4 - Private Window,,"""Shortbread Lofts - B4 - Private Window"", ""206"",",B4 (Private),2,Private Window,2,2,2,0,1.0000,01-21-2022 05:59 PM,01-03-2023 04:49 PM,192,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_B4_Private Window
Shortbread Lofts,C1,C1,208,C1 (Shared),Shortbread Lofts - C1 - Shared No Window,,"""Shortbread Lofts - C1 - Shared No Window"", ""208"",",C1 (Shared),16,Shared No Window,2,2,2,0,0.0357,01-21-2022 05:59 PM,01-03-2023 04:49 PM,196,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_C1_Shared No Window
Shortbread Lofts,C3,C3,210,C3 (Private),Shortbread Lofts - C3 - Private No Window,,"""Shortbread Lofts - C3 - Private No Window"", ""210"",",C3 (Private),10,Private No Window,8,8,8,0,0.4000,01-21-2022 05:59 PM,01-03-2023 04:49 PM,202,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_C3_Private No Window
Shortbread Lofts,C4,C4,212,C4 (Private),Shortbread Lofts - C4 - Private No Window,,"""Shortbread Lofts - C4 - Private No Window"", ""212"",",C4 (Private),6,Private No Window,1,1,0,1,0.0417,01-21-2022 05:59 PM,01-03-2023 04:49 PM,207,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_C4_Private No Window
Shortbread Lofts,C4,C4,212,C4 (Private),Shortbread Lofts - C4 - Private Top Floor No Window,,"""Shortbread Lofts - C4 - Private Top Floor No Window"", ""212"",",C4 (Private),6,Private Top Floor No Window,1,1,1,0,0.0417,01-21-2022 05:59 PM,01-03-2023 04:49 PM,208,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_C4_Private Top Floor No Window
Shortbread Lofts,C4,C4,212,C4 (Private),Shortbread Lofts - C4 - Private Top Floor Window,,"""Shortbread Lofts - C4 - Private Top Floor Window"", ""212"",",C4 (Private),6,Private Top Floor Window,1,1,1,0,0.0417,01-21-2022 05:59 PM,01-03-2023 04:49 PM,209,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_C4_Private Top Floor Window
Shortbread Lofts,C4,C4,212,C4 (Private),Shortbread Lofts - C4 - Private Window,,"""Shortbread Lofts - C4 - Private Window"", ""212"",",C4 (Private),6,Private Window,3,3,2,1,0.1250,01-21-2022 05:59 PM,01-03-2023 04:49 PM,210,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_C4_Private Window
Shortbread Lofts,C4,C4,213,C4 (Shared),Shortbread Lofts - C4 - Shared No Window,,"""Shortbread Lofts - C4 - Shared No Window"", ""213"",",C4 (Shared),18,Shared No Window,6,6,6,0,0.2500,01-21-2022 05:59 PM,01-03-2023 04:49 PM,211,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_C4_Shared No Window
Shortbread Lofts,C4,C4,213,C4 (Shared),Shortbread Lofts - C4 - Shared Top Floor Window,,"""Shortbread Lofts - C4 - Shared Top Floor Window"", ""213"",",C4 (Shared),18,Shared Top Floor Window,2,2,2,0,0.0833,01-21-2022 05:59 PM,01-03-2023 04:49 PM,212,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_C4_Shared Top Floor Window
Shortbread Lofts,D2,D2,216,D2 (Private),Shortbread Lofts - D2 - Private Top Floor No Window,,"""Shortbread Lofts - D2 - Private Top Floor No Window"", ""216"",",D2 (Private),9,Private Top Floor No Window,1,1,1,0,0.0909,01-21-2022 05:59 PM,01-03-2023 04:49 PM,226,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_D2_Private Top Floor No Window
Shortbread Lofts,D2,D2,216,D2 (Private),Shortbread Lofts - D2 - Private Top Floor Window,,"""Shortbread Lofts - D2 - Private Top Floor Window"", ""216"",",D2 (Private),9,Private Top Floor Window,4,4,4,0,0.3636,01-21-2022 05:59 PM,01-03-2023 04:49 PM,227,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_D2_Private Top Floor Window
Shortbread Lofts,D2,D2,217,D2 (Shared),Shortbread Lofts - D2 - Shared Top Floor Window,,"""Shortbread Lofts - D2 - Shared Top Floor Window"", ""217"",",D2 (Shared),2,Shared Top Floor Window,2,2,2,0,0.1818,01-21-2022 05:59 PM,01-03-2023 04:49 PM,230,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_D2_Shared Top Floor Window
Shortbread Lofts,D2,D2,217,D2 (Shared),Shortbread Lofts - D2 - Shared Window,,"""Shortbread Lofts - D2 - Shared Window"", ""217"",",D2 (Shared),2,Shared Window,0,0,0,0,0.0000,01-21-2022 05:59 PM,01-03-2023 04:49 PM,231,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_D2_Shared Window
The Rise at Northgate,A1,A1,222,A1 Aerial,The Rise at Northgate - A1 - Aerial Balcony Private Bathroom,,"""The Rise at Northgate - A1 - Aerial Balcony Private Bathroom"", ""222"",",A1 Aerial,12,Aerial Balcony Private Bathroom,3,3,0,3,0.0833,01-21-2022 05:59 PM,01-03-2023 04:49 PM,234,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_A1_Aerial Balcony Private Bathroom
The Rise at Northgate,A1,A1,222,A1 Aerial,The Rise at Northgate - A1 - Aerial Standard Bedroom,,"""The Rise at Northgate - A1 - Aerial Standard Bedroom"", ""222"",",A1 Aerial,12,Aerial Standard Bedroom,8,8,4,4,0.2222,01-21-2022 05:59 PM,01-03-2023 04:49 PM,236,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_A1_Aerial Standard Bedroom
The Rise at Northgate,A2,A2,223,A2,The Rise at Northgate - A2 - Standard Bedroom,,"""The Rise at Northgate - A2 - Standard Bedroom"", ""223"",",A2,4,Standard Bedroom,4,4,0,4,1.0000,01-21-2022 05:59 PM,01-03-2023 04:49 PM,241,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_A2_Standard Bedroom
The Rise at Northgate,B1,B1,226,B1 Aerial,The Rise at Northgate - B1 - Aerial Private Bathroom,,"""The Rise at Northgate - B1 - Aerial Private Bathroom"", ""226"",",B1 Aerial,12,Aerial Private Bathroom,12,12,5,7,0.2857,01-21-2022 05:59 PM,01-03-2023 04:49 PM,244,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_B1_Aerial Private Bathroom
The Rise at Northgate,B2,B2,228,B2 Penthouse,The Rise at Northgate - B2 - Penthouse Standard Bedroom,,"""The Rise at Northgate - B2 - Penthouse Standard Bedroom"", ""228"",",B2 Penthouse,4,Penthouse Standard Bedroom,2,2,0,2,0.5000,01-21-2022 05:59 PM,01-03-2023 04:49 PM,250,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_B2_Penthouse Standard Bedroom
The Rise at Northgate,D1,D1,232,D1 Aerial,The Rise at Northgate - D1 - Aerial Balcony Private Bathroom,,"""The Rise at Northgate - D1 - Aerial Balcony Private Bathroom"", ""232"",",D1 Aerial,73,Aerial Balcony Private Bathroom,18,18,10,8,0.0714,01-21-2022 05:59 PM,01-03-2023 04:49 PM,258,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_D1_Aerial Balcony Private Bathroom
The Rise at Northgate,D1,D1,232,D1 Aerial,The Rise at Northgate - D1 - Aerial Standard Bedroom,,"""The Rise at Northgate - D1 - Aerial Standard Bedroom"", ""232"",",D1 Aerial,73,Aerial Standard Bedroom,18,18,10,8,0.0714,01-21-2022 05:59 PM,01-03-2023 04:49 PM,261,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_D1_Aerial Standard Bedroom
The Rise at Northgate,D2,D2,233,D2,The Rise at Northgate - D2 - Penthouse Private Bathroom,,"""The Rise at Northgate - D2 - Penthouse Private Bathroom"", ""233"",",D2,4,Penthouse Private Bathroom,2,2,0,2,0.5000,01-21-2022 05:59 PM,01-03-2023 04:49 PM,269,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_D2_Penthouse Private Bathroom
The Rise at Northgate,D3,D3,235,D3 Aerial,The Rise at Northgate - D3 - Aerial Private Bathroom,,"""The Rise at Northgate - D3 - Aerial Private Bathroom"", ""235"",",D3 Aerial,13,Aerial Private Bathroom,6,6,4,2,0.1500,01-21-2022 05:59 PM,01-03-2023 04:49 PM,272,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_D3_Aerial Private Bathroom
The Rise at Northgate,D3,D3,235,D3 Aerial,The Rise at Northgate - D3 - Aerial Standard Bedroom,,"""The Rise at Northgate - D3 - Aerial Standard Bedroom"", ""235"",",D3 Aerial,13,Aerial Standard Bedroom,6,6,4,2,0.1500,01-21-2022 05:59 PM,01-03-2023 04:49 PM,273,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_D3_Aerial Standard Bedroom
The Rise at Northgate,D3,D3,234,D3,The Rise at Northgate - D3 - Private Bathroom,,"""The Rise at Northgate - D3 - Private Bathroom"", ""234"",",D3,30,Private Bathroom,14,14,3,11,0.3500,01-21-2022 05:59 PM,01-03-2023 04:49 PM,274,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_D3_Private Bathroom
The Rise at Northgate,E1,E1,236,E1 Penthouse,The Rise at Northgate - E1 - Penthouse Standard Bedroom,,"""The Rise at Northgate - E1 - Penthouse Standard Bedroom"", ""236"",",E1 Penthouse,16,Penthouse Standard Bedroom,3,3,2,1,0.2000,01-21-2022 05:59 PM,01-03-2023 04:49 PM,278,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_E1_Penthouse Standard Bedroom
The Rise at Northgate,E2,E2,237,E2 Penthouse,The Rise at Northgate - E2 - Penthouse Standard Bedroom,,"""The Rise at Northgate - E2 - Penthouse Standard Bedroom"", ""237"",",E2 Penthouse,32,Penthouse Standard Bedroom,6,6,2,4,0.2000,01-21-2022 05:59 PM,01-03-2023 04:49 PM,281,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_E2_Penthouse Standard Bedroom
The Rise at Northgate,Not Selected,Not Selected,371,Not Selected,The Rise at Northgate - Not Selected - Private,,"""The Rise at Northgate - Not Selected - Private"", ""371"",",Not Selected,,Private,0,0,0,0,0.0000,01-21-2022 05:59 PM,10-24-2022 11:20 AM,293,Connected Data Service <3000.e5kr>,JT Bailey <62477437.bhmt>,The Rise at Northgate_Not Selected_Private
Shortbread Lofts,Not Selected,Not Selected,382,Not Selected,Shortbread Lofts - Not Selected - Private,,"""Shortbread Lofts - Not Selected - Private"", ""382"",",Not Selected,,Private,0,0,0,0,0.0000,01-21-2022 05:59 PM,10-24-2022 11:16 AM,233,Connected Data Service <3000.e5kr>,JT Bailey <62477437.bhmt>,Shortbread Lofts_Not Selected_Private
Shortbread Lofts,D2,D2,216,D2 (Private),Shortbread Lofts - D2 - Private,,"""Shortbread Lofts - D2 - Private"", ""216"",",D2 (Private),9,Private,0,0,0,0,0.0000,10-24-2022 11:05 AM,10-24-2022 11:06 AM,324,Connected Data Service <3000.e5kr>,JT Bailey <62477437.bhmt>,Shortbread Lofts_D2_Private
Shortbread Lofts,D2,D2,216,D2 (Private),Shortbread Lofts - D2 - Private No Window,,"""Shortbread Lofts - D2 - Private No Window"", ""216"",",D2 (Private),9,Private No Window,0,0,0,0,0.0000,10-24-2022 11:05 AM,10-24-2022 11:06 AM,325,Connected Data Service <3000.e5kr>,JT Bailey <62477437.bhmt>,Shortbread Lofts_D2_Private No Window
The Rise at Northgate,A1,A1,222,A1 Aerial,The Rise at Northgate - A1 - Aerial Private Bathroom,,"""The Rise at Northgate - A1 - Aerial Private Bathroom"", ""222"",",A1 Aerial,12,Aerial Private Bathroom,1,1,0,1,0.0278,01-21-2022 05:59 PM,10-24-2022 11:05 AM,235,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_A1_Aerial Private Bathroom
The Rise at Northgate,B1,B1,227,B1 Penthouse,The Rise at Northgate - B1 - Penthouse Private Bathroom,,"""The Rise at Northgate - B1 - Penthouse Private Bathroom"", ""227"",",B1 Penthouse,2,Penthouse Private Bathroom,2,2,0,2,0.0476,01-21-2022 05:59 PM,10-24-2022 11:05 AM,245,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_B1_Penthouse Private Bathroom
The Rise at Northgate,B3,B3,229,B3 Penthouse,The Rise at Northgate - B3 - Penthouse Private Bathroom,,"""The Rise at Northgate - B3 - Penthouse Private Bathroom"", ""229"",",B3 Penthouse,2,Penthouse Private Bathroom,1,1,0,1,0.5000,01-21-2022 05:59 PM,10-24-2022 11:05 AM,252,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_B3_Penthouse Private Bathroom
The Rise at Northgate,B3,B3,229,B3 Penthouse,The Rise at Northgate - B3 - Penthouse Standard Bedroom,,"""The Rise at Northgate - B3 - Penthouse Standard Bedroom"", ""229"",",B3 Penthouse,2,Penthouse Standard Bedroom,1,1,0,1,0.5000,01-21-2022 05:59 PM,10-24-2022 11:05 AM,253,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_B3_Penthouse Standard Bedroom
The Rise at Northgate,C1,C1,230,C1 Penthouse,The Rise at Northgate - C1 - Penthouse Private Bathroom,,"""The Rise at Northgate - C1 - Penthouse Private Bathroom"", ""230"",",C1 Penthouse,3,Penthouse Private Bathroom,1,1,0,1,0.3333,01-21-2022 05:59 PM,10-24-2022 11:05 AM,255,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_C1_Penthouse Private Bathroom
The Rise at Northgate,C1,C1,230,C1 Penthouse,The Rise at Northgate - C1 - Penthouse Standard Bedroom,,"""The Rise at Northgate - C1 - Penthouse Standard Bedroom"", ""230"",",C1 Penthouse,3,Penthouse Standard Bedroom,2,2,0,2,0.6667,01-21-2022 05:59 PM,10-24-2022 11:05 AM,256,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_C1_Penthouse Standard Bedroom
The Rise at Northgate,F1,F1,239,F1 Penthouse,The Rise at Northgate - F1 - Penthouse Private Bathroom,,"""The Rise at Northgate - F1 - Penthouse Private Bathroom"", ""239"",",F1 Penthouse,6,Penthouse Private Bathroom,4,4,0,4,0.6667,01-21-2022 05:59 PM,10-24-2022 11:05 AM,288,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_F1_Penthouse Private Bathroom
The Rise at Northgate,F1,F1,239,F1 Penthouse,The Rise at Northgate - F1 - Penthouse Standard Bedroom,,"""The Rise at Northgate - F1 - Penthouse Standard Bedroom"", ""239"",",F1 Penthouse,6,Penthouse Standard Bedroom,2,2,0,2,0.3333,01-21-2022 05:59 PM,10-24-2022 11:05 AM,289,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_F1_Penthouse Standard Bedroom
The Rise at Northgate,B2,B2,228,B2 Penthouse,The Rise at Northgate - B2 - Penthouse Private Bathroom,,"""The Rise at Northgate - B2 - Penthouse Private Bathroom"", ""228"",",B2 Penthouse,4,Penthouse Private Bathroom,2,2,0,2,0.5000,01-21-2022 05:59 PM,09-15-2022 11:40 AM,249,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_B2_Penthouse Private Bathroom
Shortbread Lofts,C3,C3,210,C3 (Private),Shortbread Lofts - C3 - Private Window,,"""Shortbread Lofts - C3 - Private Window"", ""210"",",C3 (Private),10,Private Window,0,0,0,0,0.0000,01-21-2022 05:59 PM,06-29-2022 11:10 AM,204,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_C3_Private Window
Shortbread Lofts,D2,D2,216,D2 (Private),Shortbread Lofts - D2 - Private Window,,"""Shortbread Lofts - D2 - Private Window"", ""216"",",D2 (Private),9,Private Window,0,0,0,0,0.0000,01-21-2022 05:59 PM,06-29-2022 11:10 AM,228,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_D2_Private Window
Shortbread Lofts,D2,D2,217,D2 (Shared),Shortbread Lofts - D2 - Shared No Window,,"""Shortbread Lofts - D2 - Shared No Window"", ""217"",",D2 (Shared),2,Shared No Window,0,0,0,0,0.0000,01-21-2022 05:59 PM,06-29-2022 11:10 AM,229,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_D2_Shared No Window
The Rise at Northgate,A3,A3,224,A3 Penthouse,The Rise at Northgate - A3 - Penthouse Private Bathroom,,"""The Rise at Northgate - A3 - Penthouse Private Bathroom"", ""224"",",A3 Penthouse,1,Penthouse Private Bathroom,1,1,0,1,1.0000,01-21-2022 05:59 PM,06-29-2022 11:10 AM,243,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_A3_Penthouse Private Bathroom
